               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.024357,            0.004297,          0.00081277,             0.97094,                   1,               0.995,             0.81555,            0.013635,           0.0033346,          0.00042724,             0.00601,             0.00601,             0.00601
                 135,            0.026793,           0.0042643,          0.00065645,             0.98279,                   1,               0.995,             0.79114,            0.013817,           0.0032811,          0.00046082,             0.00598,             0.00598,             0.00598
                 136,            0.026839,           0.0039354,          0.00072193,             0.98167,                   1,               0.995,             0.81699,            0.013188,            0.003237,          0.00047324,             0.00595,             0.00595,             0.00595
                 137,            0.027239,           0.0039171,          0.00070076,             0.98258,                   1,               0.995,             0.79434,            0.013521,           0.0032486,          0.00041925,             0.00592,             0.00592,             0.00592
                 138,            0.024532,           0.0041139,          0.00051573,              0.9814,                   1,               0.995,             0.76614,            0.013858,           0.0032984,          0.00035631,             0.00589,             0.00589,             0.00589
                 139,            0.026569,           0.0038159,          0.00048805,             0.98016,                   1,             0.99456,             0.80359,            0.012717,           0.0033066,          0.00035397,             0.00586,             0.00586,             0.00586
                 140,            0.023951,           0.0037877,          0.00066805,             0.98093,                   1,               0.995,             0.82012,            0.013575,           0.0033342,          0.00039305,             0.00583,             0.00583,             0.00583
                 141,            0.025876,           0.0040367,          0.00060426,             0.97975,                   1,               0.995,             0.80634,            0.014066,           0.0033864,          0.00044686,              0.0058,              0.0058,              0.0058
                 142,            0.026495,           0.0040925,          0.00066771,             0.98164,                   1,               0.995,             0.76053,            0.013844,           0.0034282,          0.00041124,             0.00577,             0.00577,             0.00577
                 143,            0.026707,           0.0039611,          0.00072324,             0.97804,                   1,             0.99456,             0.77357,            0.015975,           0.0034347,          0.00041293,             0.00574,             0.00574,             0.00574
                 144,            0.023991,           0.0041375,          0.00061467,             0.97858,                   1,             0.99279,             0.80375,            0.013994,           0.0035709,          0.00043161,             0.00571,             0.00571,             0.00571
                 145,            0.024748,           0.0039593,          0.00057368,             0.96943,                   1,             0.99324,             0.79791,            0.013477,           0.0035091,          0.00038521,             0.00568,             0.00568,             0.00568
                 146,            0.025292,           0.0040006,          0.00061856,             0.98468,                   1,               0.995,             0.80047,            0.014443,           0.0034556,          0.00034698,             0.00565,             0.00565,             0.00565
                 147,            0.025227,           0.0037661,          0.00057646,             0.99573,                   1,               0.995,             0.82468,            0.012524,            0.003341,          0.00030579,             0.00562,             0.00562,             0.00562
                 148,             0.02616,           0.0042256,          0.00060809,             0.99334,                   1,               0.995,              0.8195,            0.013056,            0.003287,          0.00033548,             0.00559,             0.00559,             0.00559
                 149,            0.025049,            0.004047,          0.00066243,             0.98788,                   1,               0.995,             0.80209,            0.013273,           0.0032817,          0.00036178,             0.00556,             0.00556,             0.00556
                 150,            0.026743,           0.0039289,          0.00069061,             0.98253,                   1,               0.995,              0.8066,            0.013908,           0.0032657,          0.00039562,             0.00553,             0.00553,             0.00553
                 151,            0.024751,           0.0039894,          0.00059941,             0.98185,             0.99901,               0.995,             0.81481,            0.013401,           0.0033143,          0.00036378,              0.0055,              0.0055,              0.0055
                 152,             0.02394,           0.0038835,          0.00052103,             0.97788,             0.99696,               0.995,             0.78978,            0.013136,           0.0033763,          0.00034555,             0.00547,             0.00547,             0.00547
                 153,            0.026028,           0.0039921,          0.00054341,             0.98578,                   1,               0.995,             0.84304,            0.012349,           0.0033629,          0.00034221,             0.00544,             0.00544,             0.00544
                 154,            0.023984,           0.0041634,          0.00050284,             0.98299,                   1,               0.995,             0.81376,            0.012798,            0.003305,          0.00030739,             0.00541,             0.00541,             0.00541
                 155,            0.024534,           0.0040036,          0.00050021,             0.98038,                   1,               0.995,             0.82085,            0.012572,            0.003236,          0.00028986,             0.00538,             0.00538,             0.00538
                 156,            0.025063,           0.0041017,          0.00061604,              0.9814,                   1,               0.995,             0.82383,            0.013085,           0.0032796,          0.00031936,             0.00535,             0.00535,             0.00535
                 157,            0.024694,           0.0038564,           0.0011489,             0.98008,                   1,             0.99412,             0.82945,            0.011456,           0.0031806,          0.00033238,             0.00532,             0.00532,             0.00532
                 158,            0.023692,           0.0035816,          0.00056552,             0.97942,                   1,             0.99456,             0.77951,            0.014583,           0.0032662,          0.00035179,             0.00529,             0.00529,             0.00529
                 159,            0.025871,           0.0041838,          0.00054129,             0.98137,                   1,               0.995,             0.83043,            0.012847,           0.0032429,           0.0003501,             0.00526,             0.00526,             0.00526
                 160,            0.024766,           0.0042342,          0.00053434,             0.99686,                   1,               0.995,             0.80071,             0.01388,           0.0032864,           0.0003065,             0.00523,             0.00523,             0.00523
