               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.033301,           0.0079191,          0.00093856,             0.98841,             0.97545,             0.99456,             0.73942,            0.019505,           0.0063388,          0.00064321,             0.00736,             0.00736,             0.00736
                  82,            0.032914,           0.0076814,          0.00071846,             0.93137,              0.9798,               0.995,              0.7651,            0.017232,           0.0062013,           0.0006391,            0.007327,            0.007327,            0.007327
                  83,            0.032665,           0.0082231,          0.00078575,             0.93699,             0.98911,             0.99157,             0.72119,             0.02005,            0.006252,          0.00049907,            0.007294,            0.007294,            0.007294
                  84,            0.033835,           0.0078592,          0.00073489,             0.88702,             0.88977,             0.97563,             0.71908,            0.019218,           0.0073566,          0.00063127,            0.007261,            0.007261,            0.007261
                  85,            0.032566,           0.0080692,          0.00079847,               0.981,             0.99274,             0.99456,             0.73145,            0.019908,           0.0059079,          0.00062644,            0.007228,            0.007228,            0.007228
                  86,            0.033724,           0.0075032,          0.00079992,             0.93535,             0.93505,             0.98841,             0.68879,            0.021626,           0.0066738,          0.00061973,            0.007195,            0.007195,            0.007195
                  87,            0.031298,            0.007776,          0.00076472,             0.96228,             0.92974,             0.98624,             0.73476,            0.018915,           0.0062866,           0.0006066,            0.007162,            0.007162,            0.007162
                  88,            0.031741,           0.0079296,          0.00090547,             0.95303,              0.9697,             0.99146,             0.74771,            0.016686,           0.0061781,          0.00066044,            0.007129,            0.007129,            0.007129
                  89,            0.033241,           0.0075475,          0.00066355,             0.93409,             0.95245,             0.98544,             0.68665,            0.020031,           0.0065926,          0.00055914,            0.007096,            0.007096,            0.007096
                  90,            0.033705,           0.0075641,          0.00070379,             0.95998,             0.98601,             0.99358,             0.71871,            0.018401,           0.0062176,           0.0005672,            0.007063,            0.007063,            0.007063
                  91,            0.031159,           0.0076466,          0.00090327,             0.95451,             0.95118,             0.99058,              0.7262,             0.01704,           0.0060766,           0.0005888,             0.00703,             0.00703,             0.00703
                  92,             0.03292,            0.007656,          0.00076469,             0.95453,             0.93005,             0.99397,             0.75287,            0.016869,           0.0063368,          0.00075334,            0.006997,            0.006997,            0.006997
                  93,            0.032356,           0.0076811,          0.00070751,             0.91774,             0.82899,             0.94009,             0.70921,            0.017907,           0.0078108,          0.00053806,            0.006964,            0.006964,            0.006964
                  94,            0.032468,           0.0072933,          0.00073917,             0.91431,             0.96334,             0.98839,             0.72469,            0.018598,           0.0062081,          0.00046886,            0.006931,            0.006931,            0.006931
                  95,            0.033407,           0.0071054,          0.00062699,             0.91546,             0.98946,              0.9898,             0.73978,             0.01909,           0.0058535,          0.00054681,            0.006898,            0.006898,            0.006898
                  96,            0.031962,           0.0075561,          0.00076439,              0.9433,              0.9697,             0.99235,             0.70507,            0.019462,           0.0058808,          0.00061909,            0.006865,            0.006865,            0.006865
                  97,            0.031357,           0.0080705,            0.001093,             0.94692,             0.98532,             0.99259,             0.73732,            0.017647,           0.0058811,          0.00067588,            0.006832,            0.006832,            0.006832
                  98,            0.030851,           0.0071266,           0.0013111,             0.96159,             0.93939,             0.98903,              0.7233,            0.020389,           0.0065066,            0.000548,            0.006799,            0.006799,            0.006799
                  99,            0.032806,           0.0074575,          0.00099231,             0.87991,             0.98268,             0.99023,             0.70108,            0.019407,           0.0066102,          0.00056588,            0.006766,            0.006766,            0.006766
                 100,            0.031602,           0.0078494,          0.00077564,             0.92618,             0.98485,               0.987,             0.73124,            0.019009,           0.0069202,          0.00059915,            0.006733,            0.006733,            0.006733
                 101,            0.031506,           0.0080677,          0.00078136,             0.92868,             0.89722,             0.98646,             0.69453,            0.019306,           0.0064286,          0.00057297,              0.0067,              0.0067,              0.0067
                 102,            0.030194,           0.0071739,           0.0007906,             0.94196,             0.99043,             0.99329,             0.73778,            0.019866,           0.0059915,          0.00043392,            0.006667,            0.006667,            0.006667
                 103,            0.031227,           0.0072864,          0.00077238,             0.98912,             0.96101,             0.99412,             0.74094,            0.017766,           0.0057708,          0.00043907,            0.006634,            0.006634,            0.006634
                 104,            0.030454,           0.0071301,          0.00058195,             0.94363,             0.99583,             0.99062,             0.74628,            0.019739,           0.0056103,          0.00040105,            0.006601,            0.006601,            0.006601
                 105,            0.030768,           0.0073991,           0.0008373,             0.95079,                   1,             0.99412,             0.78694,            0.016647,           0.0056558,          0.00042926,            0.006568,            0.006568,            0.006568
                 106,            0.029436,           0.0071701,          0.00066135,             0.95707,                   1,              0.9925,             0.76131,             0.01771,           0.0062954,          0.00045044,            0.006535,            0.006535,            0.006535
                 107,            0.030894,           0.0074632,          0.00082703,             0.94944,             0.92168,             0.98574,             0.72474,            0.017493,           0.0065055,          0.00053209,            0.006502,            0.006502,            0.006502
                 108,            0.030372,           0.0074579,          0.00077799,             0.95658,             0.96732,             0.98554,             0.74413,            0.017603,           0.0061045,          0.00049594,            0.006469,            0.006469,            0.006469
                 109,            0.030414,           0.0071422,          0.00056108,             0.94536,             0.86995,             0.98161,             0.72413,            0.021284,           0.0069482,           0.0005057,            0.006436,            0.006436,            0.006436
