               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.028069,           0.0057166,          0.00080617,             0.96692,                   1,             0.99369,             0.81018,             0.01467,           0.0046758,          0.00066538,            0.007459,            0.007459,            0.007459
                  79,            0.028994,           0.0056794,          0.00082253,             0.96711,                   1,             0.99235,             0.79619,            0.015317,           0.0048018,          0.00071201,            0.007426,            0.007426,            0.007426
                  80,            0.026903,           0.0057925,          0.00083962,             0.97005,                   1,               0.995,             0.80662,            0.015664,           0.0047472,          0.00066662,            0.007393,            0.007393,            0.007393
                  81,            0.028081,           0.0056388,          0.00074027,             0.97973,                   1,             0.99368,             0.80241,            0.014909,           0.0046692,          0.00059099,             0.00736,             0.00736,             0.00736
                  82,            0.027699,           0.0056396,          0.00077863,             0.97931,             0.99885,             0.99324,             0.78781,            0.015435,           0.0048179,          0.00064497,            0.007327,            0.007327,            0.007327
                  83,            0.026525,           0.0057919,           0.0008763,             0.97897,              0.9945,             0.99368,             0.79089,            0.015234,             0.00482,          0.00068717,            0.007294,            0.007294,            0.007294
                  84,             0.02692,           0.0058202,          0.00091356,             0.97922,                   1,               0.995,              0.7809,            0.015598,           0.0048167,          0.00065174,            0.007261,            0.007261,            0.007261
                  85,            0.027627,           0.0055042,          0.00089719,             0.98073,                   1,               0.995,             0.80053,            0.014605,           0.0046886,          0.00062222,            0.007228,            0.007228,            0.007228
                  86,            0.026984,           0.0060441,          0.00068297,             0.99039,                   1,               0.995,             0.76169,            0.016766,            0.004686,          0.00050941,            0.007195,            0.007195,            0.007195
                  87,            0.026626,            0.005963,          0.00064988,             0.98543,                   1,               0.995,             0.78645,            0.017088,           0.0046256,           0.0004622,            0.007162,            0.007162,            0.007162
                  88,            0.028284,           0.0056012,          0.00065014,             0.97529,                   1,               0.995,             0.78171,            0.014946,            0.004501,          0.00050845,            0.007129,            0.007129,            0.007129
                  89,            0.026642,           0.0055883,          0.00079442,             0.96246,                   1,               0.995,             0.74902,            0.016171,           0.0047198,          0.00062447,            0.007096,            0.007096,            0.007096
                  90,            0.025941,           0.0058234,          0.00080055,             0.98674,                   1,               0.995,             0.78838,            0.014814,           0.0045725,          0.00062232,            0.007063,            0.007063,            0.007063
                  91,            0.026958,           0.0055743,          0.00081903,             0.99511,                   1,               0.995,             0.73228,            0.017205,           0.0047273,          0.00061617,             0.00703,             0.00703,             0.00703
                  92,            0.026167,           0.0060313,          0.00090069,             0.97773,                   1,             0.99191,             0.76931,            0.015397,           0.0046841,          0.00060234,            0.006997,            0.006997,            0.006997
                  93,            0.025153,           0.0054448,          0.00077633,             0.97191,                   1,             0.99015,             0.76238,            0.014891,           0.0046813,          0.00057673,            0.006964,            0.006964,            0.006964
                  94,            0.025488,           0.0055122,          0.00063081,              0.9746,                   1,             0.99412,             0.75374,            0.015845,           0.0047125,          0.00059495,            0.006931,            0.006931,            0.006931
                  95,            0.025536,           0.0057711,          0.00078347,             0.97274,                   1,               0.995,             0.74899,            0.016896,           0.0046788,          0.00058188,            0.006898,            0.006898,            0.006898
                  96,            0.025869,           0.0057334,          0.00074444,             0.97162,                   1,             0.99191,             0.78524,            0.014993,           0.0045471,          0.00064321,            0.006865,            0.006865,            0.006865
                  97,            0.026718,           0.0053632,          0.00081696,             0.96424,             0.99869,             0.99059,             0.77516,             0.01533,           0.0048419,          0.00075412,            0.006832,            0.006832,            0.006832
                  98,            0.026839,           0.0058164,          0.00068883,             0.98905,             0.98773,               0.995,             0.81181,             0.01387,           0.0046838,          0.00059562,            0.006799,            0.006799,            0.006799
                  99,            0.026547,           0.0057972,           0.0006065,              0.9713,              0.9906,               0.995,             0.71051,             0.01632,           0.0049488,          0.00055056,            0.006766,            0.006766,            0.006766
                 100,            0.026145,           0.0056259,          0.00062586,             0.98158,              0.9948,               0.995,             0.77778,            0.016759,           0.0049309,          0.00059729,            0.006733,            0.006733,            0.006733
                 101,            0.025053,           0.0058894,          0.00074105,             0.97955,                   1,               0.995,             0.77084,            0.014924,            0.004851,          0.00061641,              0.0067,              0.0067,              0.0067
                 102,             0.02542,           0.0056629,          0.00073369,             0.95392,                   1,               0.995,             0.79809,            0.014356,           0.0048318,          0.00066142,            0.006667,            0.006667,            0.006667
                 103,            0.025241,            0.005423,          0.00070605,             0.98029,             0.99689,               0.995,              0.8008,             0.01331,           0.0045902,          0.00055585,            0.006634,            0.006634,            0.006634
                 104,            0.025227,           0.0054151,           0.0006476,              0.9699,                   1,               0.995,             0.80581,            0.014216,           0.0045404,          0.00055985,            0.006601,            0.006601,            0.006601
                 105,            0.026074,           0.0053857,           0.0008247,             0.98085,             0.99504,             0.99235,             0.76245,             0.01492,           0.0047498,          0.00069208,            0.006568,            0.006568,            0.006568
                 106,            0.025826,            0.005422,          0.00081398,             0.97625,                   1,               0.995,             0.79168,            0.013882,           0.0044619,          0.00061512,            0.006535,            0.006535,            0.006535
                 107,             0.02478,           0.0053927,          0.00066963,             0.97012,                   1,             0.99368,             0.78887,            0.015322,           0.0045753,          0.00049376,            0.006502,            0.006502,            0.006502
                 108,            0.024264,           0.0054166,          0.00069627,             0.95489,                   1,             0.99412,              0.8182,            0.014123,           0.0044237,          0.00039573,            0.006469,            0.006469,            0.006469
                 109,            0.024693,           0.0047504,          0.00054394,             0.99144,             0.99257,               0.995,             0.77432,             0.01469,           0.0044605,          0.00037794,            0.006436,            0.006436,            0.006436
                 110,            0.024932,           0.0052358,          0.00061848,             0.99237,                   1,               0.995,             0.79207,            0.014276,           0.0044639,          0.00041959,            0.006403,            0.006403,            0.006403
                 111,            0.023091,           0.0055071,          0.00058772,             0.99389,                   1,               0.995,             0.80813,            0.013966,           0.0043992,          0.00042496,             0.00637,             0.00637,             0.00637
